Before Statements,After Statements,Error Correction,Generated Statements
"The parents give knowledge and love to the children, meanwhile they feel happy with the accompany of the children.","The parents give knowledge and love to the children, meanwhile they feel happy with the company of the children.","[{'idx_src': [16], 'idx_tgt': [16], 'corr_type': 'Wci'}]","The parents give knowledge and love to their children, and they feel happy with the company of their children."
The children rely the parent to live.,The children rely on the parents to live.,"[{'idx_src': [], 'idx_tgt': [3], 'corr_type': 'Prep'}, {'idx_src': [4], 'idx_tgt': [5], 'corr_type': 'Nn'}]",The children rely on their parents to live.
"When they grow up, they take care of the old parents and thank for their dedication.","When they grow up, they take care of the old parents and thank them for their dedication.","[{'idx_src': [], 'idx_tgt': [14], 'corr_type': 'Pref'}]","When they grow up, they take care of their old parents and thank them for their dedication."
The relation between parents and children is something about love and dedication.,The relation between parents and children is something about love and dedication.,[],The relationship between parents and children is something about love and dedication.
Everyone does not want to see the scene of the broken family due to the carrier of a known genetic risk.,Noone wants to see the scene of a broken family due to the carrier of a known genetic risk.,"[{'idx_src': [0, 1, 2], 'idx_tgt': [0], 'corr_type': 'ArtOrDet'}, {'idx_src': [3], 'idx_tgt': [1], 'corr_type': 'SVA'}, {'idx_src': [9], 'idx_tgt': [7], 'corr_type': 'SVA'}]",Everyone does not want to see the scene of a broken family due to the carrier of a known genetic risk.
"Therefore, I think a known genetic risk should not be obligated to tell his or her family or relatives without the person's permission.","Therefore, I think a known genetic risk should not be obligated to tell his or her family or relatives without the person's permission.",[],"Therefore, I believe that a known genetic risk should not be obligated to tell his or her family or relatives without the person's permission."
"Finally, the technology of testing the gene is not very mature now.","Finally, the technology of testing the gene is not very mature at this moment.","[{'idx_src': [12], 'idx_tgt': [12, 13, 14], 'corr_type': 'Trans'}]","Finally, the technology for testing genes is not very mature yet."
There also exists some probability of wrong testing.,There also exists some probability of testing errors.,"[{'idx_src': [6, 7], 'idx_tgt': [6, 7], 'corr_type': 'Others'}]","Spelling error. ""wrong"" should be replaced with ""incorrect""."
"If the wrong testing was not found by the doctor, the family and the children may be sad and have a struggling life for their whole life.","If the testing errors were not found by the doctor, the family and the children may be sad and have a struggle for the rest of their lives.","[{'idx_src': [2, 3], 'idx_tgt': [2, 3], 'corr_type': 'Others'}, {'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'SVA'}, {'idx_src': [22], 'idx_tgt': [22], 'corr_type': 'Wform'}, {'idx_src': [23], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [25, 26, 27], 'idx_tgt': [24, 25, 26, 27, 28], 'corr_type': 'Wci'}]","If the wrong test results were not detected by the doctor, the family and the children may be sad and face a struggling life for their entire lifetime."
Therefore I think a know genetic risk should not be obligated to tell his or her family or relatives.,Therefore I think a known genetic risk should not be obligated to tell his or her family or relatives.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Vform'}]","Therefore, I believe that a person who knows their genetic risk should not be obligated to tell his or her family or relatives."
"Therefore, considering the people's privacy and the existence of wrong testing, for the peace of the family, I support that a know genetic risk should not be obligated to tell his or her family or relatives without the person's permission.","Therefore, considering people's privacy and the existence of wrong testing, for the peace of the family, I support that a known genetic risk should not be obligated to tell his or her family or relatives without the person's permission.","[{'idx_src': [3], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [25], 'idx_tgt': [24], 'corr_type': 'Vform'}]","Therefore, considering people's privacy and the existence of incorrect testing, for the sake of the family, I support the idea that a person with a known genetic risk should not be obligated to tell their family or relatives without the person's permission."
A Carrier of a Known Genetic Risk Should be Obligated to Tell His or Her Relatives,A Carrier of a Known Genetic Risk Should be Obligated to Tell His or Her Relatives,[],A carrier of a known genetic risk should be obligated to tell his or her relatives.
More and more illness are discovered to be related to some genes with the development of the medical technology.,More and more illnesses are discovered to be related to genes with the development of the medical technology.,"[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Nn'}, {'idx_src': [10], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]",More and more illnesses are discovered to be related to some genes with the development of medical technology.
People will know about whether they carry a disease on their genes after they have done the genetic test.,People will know about whether they carry a disease in their genes after they have done the genetic test.,"[{'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Prep'}]",People will know whether they carry a disease on their genes after they have had a genetic test.
"If there is no problem, that will be wonderful.","If there is no problem, that will be wonderful.",[],"If there's no problem, that would be wonderful."
"However, not everybody is so lucky that they can make sure they do not carry any disease genes.","However, not everybody is so lucky that they can make sure they do not carry any diseased genes.","[{'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Vform'}]","However, not everyone is so lucky as to be able to ensure that they do not carry any disease genes."
"Therefore, once people find they have carried the disease genes, they should be responsible to tell their relatives, at least their family members.","Therefore, once people find they carry the diseased genes, they should be responsible to tell their relatives, at least their family members.","[{'idx_src': [6, 7], 'idx_tgt': [6], 'corr_type': 'Vt'}, {'idx_src': [9], 'idx_tgt': [8], 'corr_type': 'Vform'}]","Therefore, once people find they have carried the disease genes, they should be responsible for telling their relatives, at least their family members."
It may be awkward and embarrassed for a person to tell relatives that he or she is a carrier of a known genetic risk.,It may be awkward and embarrasing for a person to tell relatives that he or she is a carrier of a known genetic risk.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Wform'}]",It may be awkward and embarrassing for a person to tell relatives that he or she is a carrier of a known genetic risk.
"But they are all from one family and own the same forefather, then of course they own the same genes in some part.","But they are all from one family and own the same forefather, so of course they own the same genes in some way.","[{'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'Trans'}, {'idx_src': [23], 'idx_tgt': [23], 'corr_type': 'Wci'}]","But they are all from one family and share the same ancestor, so of course they share the same genes in some way."
Therefore there is nothing to be shy for or be afraid of.,Therefore there is nothing to be shy about or be afraid of.,"[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Prep'}]","Therefore, there's nothing to be shy about or afraid of."
"If the person tell their relatives that he or she carries a disease gene, his or her relatives can go to hospital to check whether they also get a disease gene.","If a person tells his or her relatives that he or she carries a diseased gene, his or her relatives can go to hospital to check whether they also have a diseased gene.","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'ArtOrDet'}, {'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'SVA'}, {'idx_src': [4], 'idx_tgt': [4, 5, 6], 'corr_type': 'Pform'}, {'idx_src': [12], 'idx_tgt': [14], 'corr_type': 'Vform'}, {'idx_src': [28], 'idx_tgt': [30], 'corr_type': 'Wci'}, {'idx_src': [30], 'idx_tgt': [32], 'corr_type': 'Vform'}]","If the person tells their relatives that they carry a disease gene, their relatives can go to the hospital to check whether they also carry a disease gene."
Then the relatives can prepare themselves to prevent the disease to occur.,Then the relatives can prepare themselves to prevent the disease from occurring.,"[{'idx_src': [10, 11], 'idx_tgt': [10, 11], 'corr_type': 'Vform'}]","Then, the relatives can prepare themselves to prevent the disease from occurring."
Also they can prevent the disease going to their offspring.,Also they can prevent the disease going to their offspring.,[],"Also, they can prevent the disease from being passed on to their offspring."
"If the relatives carry that disease gene, they can share the experience with him or her and give some help, they will also teach him or her how to communicate with others about this issue.","If the relatives carry the diseased gene, they can share the experience with him or her and give some help . They will also teach him or her how to communicate with others about this issue.","[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'ArtOrDet'}, {'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Vform'}, {'idx_src': [21], 'idx_tgt': [21], 'corr_type': 'Mec'}, {'idx_src': [22], 'idx_tgt': [22], 'corr_type': 'Mec'}]","If the relatives carry that disease gene, they can share the experience with him or her and offer some help; they will also teach him or her how to communicate with others about this issue."
"If he or her not get married, he or she must tell his or her partner that he carries disease gene.","If he or she is married, he or she must tell his or her partner that he/she carries a diseased gene.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Pform'}, {'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'V0'}, {'idx_src': [5], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [18], 'idx_tgt': [17], 'corr_type': 'Pref'}, {'idx_src': [20], 'idx_tgt': [19, 20], 'corr_type': 'ArtOrDet'}]","If he or she does not get married, he or she must tell his or her partner that he or she carries a disease gene."
Then they can have a healthy baby with the help of the doctors.,Then they can have a healthy baby with the help of the doctors.,[],Then they can have a healthy baby with the help of the doctors.
"Or else, if he holds back the genetic risk, they may have a unhealthy baby and may cause the death of the baby or end of their marriage.","Or else, if he holds on telling about the genetic risk, they may have an unhealthy baby and may cause the death of the baby or end of their marriage.","[{'idx_src': [6], 'idx_tgt': [6, 7, 8], 'corr_type': 'Wci'}, {'idx_src': [14], 'idx_tgt': [16], 'corr_type': 'ArtOrDet'}]","Otherwise, if he holds back the genetic risk, they may have an unhealthy baby, which could lead to the death of the baby or the end of their marriage."
There is a story I watched on TV.,There is a story I watched on TV.,[],There is a story I watched on TV.
"A couple did not have a child after their marriage for a long time, their parents were anxious about that and asked them to go to hospital to check what was the problem.",A couple did not have a child after their marriage for a long time . Their parents were anxious about that and asked them to go to hospital to check what the problem was.,"[{'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Mec'}, {'idx_src': [15], 'idx_tgt': [15], 'corr_type': 'Mec'}, {'idx_src': [31, 32, 33], 'idx_tgt': [31, 32, 33], 'corr_type': 'WOinc'}]",A couple did not have a child after their marriage for a long time; their parents were anxious about that and asked them to go to the hospital to check what was the problem.
"After came back from the hospital, the man told his parents that the problem was that he carried a disease gene so that they cannot have a baby in their life time.","After coming back from the hospital, the man told his parents that the problem was that he carried a diseased gene so that they could not have a baby in their life time.","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'Vform'}, {'idx_src': [20], 'idx_tgt': [20], 'corr_type': 'Vform'}, {'idx_src': [25], 'idx_tgt': [25], 'corr_type': 'Vt'}]","After returning from the hospital, the man told his parents that the problem was that he carried a disease gene, which meant that they couldn't have a baby in their lifetime."
"The woman did not know the test result, but she overheard the talk and decided to divorce with her husband.","The woman did not know the test result, but she overheard the talk and decided to divorce her husband.","[{'idx_src': [18], 'idx_tgt': [], 'corr_type': 'Prep'}]","* ""divorce with her husband"" should be ""divorced her husband"
"After got the divorce certificate, the man showed her the test report; it wrote that the woman carried the disease gene instead of the man.","After getting the divorce certificate, the man showed her the test report; it wrote that the woman carried the diseased gene instead of the man.","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'Vform'}, {'idx_src': [21], 'idx_tgt': [21], 'corr_type': 'Vform'}]","After obtaining the divorce certificate, the man showed her the test report; it stated that the woman carried the disease gene instead of the man."
"At that time, the woman known how much her husband loved her but she ruined her happiness.","At that time, the woman knew how much her husband loved her but she ruined her happiness.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Vform'}]","At that time, the woman knew how much her husband loved her, but she ruined her happiness."
Tears showed nothing.,Tears showed nothing.,[],Tears showed nothing.
"People cannot avoid carrying the disease genes, which they born with.","People cannot avoid carrying diseased genes, which they are born with.","[{'idx_src': [5], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [6], 'idx_tgt': [5], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [10], 'corr_type': 'V0'}]","People cannot avoid carrying the disease genes, which they were born with."
"However, they can avoid the disease genes being inhered to their children.","However, they can avoid the diseased genes being passed on to their children.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Vform'}, {'idx_src': [9], 'idx_tgt': [9, 10], 'corr_type': 'Wci'}]","However, they can avoid passing on the disease genes to their children."
"By telling their relatives that they may have a risk of carrying the disease gene can make their family members bond closely, also many risks and conflicts can be avoided.",Telling their relatives that they may have a risk of carrying a diseased gene can make their family members bond closely . Also many risks and conflicts can be avoided.,"[{'idx_src': [0], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [1], 'idx_tgt': [0], 'corr_type': 'Mec'}, {'idx_src': [12], 'idx_tgt': [11], 'corr_type': 'ArtOrDet'}, {'idx_src': [13], 'idx_tgt': [12], 'corr_type': 'Vform'}, {'idx_src': [22], 'idx_tgt': [21], 'corr_type': 'Mec'}, {'idx_src': [23], 'idx_tgt': [22], 'corr_type': 'Mec'}]","By telling their relatives that they may have a risk of carrying the disease gene can make their family members bond closely, also many risks and conflicts can be avoided."
Genetic testing has become a beneficial way to predict and protect each individual at risk for a disorder.,Genetic testing has become a beneficial way to predict for and protect each individual at risk of a disorder.,"[{'idx_src': [], 'idx_tgt': [9], 'corr_type': 'Prep'}, {'idx_src': [15], 'idx_tgt': [16], 'corr_type': 'Prep'}]",Genetic testing has become a beneficial way to predict and protect each individual at risk for a disorder.
"However, there rises a family-related ethical dilemma if it is right to tell a carrier's family once the test has been conducted and the results are known.","However, there rises a family-related ethical dilemma about if it is right to tell a carrier's family once the test has been conducted and the results are known.","[{'idx_src': [], 'idx_tgt': [8], 'corr_type': 'Prep'}]","However, there arises a family-related ethical dilemma as to whether it is right to tell a carrier's family once the test has been conducted and the results are known."
I am most inclined to believe that his or her relatives have the rights to know the result.,I am most inclined to believe that his or her relatives have the rights to know the result.,[],I am most inclined to believe that their relatives have the right to know the result.
"The answer is simply that everyone, especially our family, has the right to know the truth.","The answer is simply that everyone, especially our family, has the right to know the truth.",[],"The answer is simply that everyone, especially our family, has the right to know the truth."
"Though it is said that genetic testing involves emotional and social risks due to the test results, while the potential negative impacts of the risk still exist, the consequence will be significant if other members of his or her family do not know.","It is said that genetic testing involves emotional and social risks due to the test results . While the potential negative impacts of the risk still exist, the consequence will be significant if other members of his or her family do not know.","[{'idx_src': [0], 'idx_tgt': [], 'corr_type': 'Trans'}, {'idx_src': [1], 'idx_tgt': [0], 'corr_type': 'Mec'}, {'idx_src': [17], 'idx_tgt': [16], 'corr_type': 'Mec'}, {'idx_src': [18], 'idx_tgt': [17], 'corr_type': 'Mec'}]","Although it is said that genetic testing involves emotional and social risks due to the test results, while the potential negative impacts of these risks still exist, the consequences will be significant if other members of his or her family do not know."
Then they are unable to have a suitable method to protect themselves and emotional preparations.,Then they are unable to have a suitable method to protect themselves and make emotional preparations.,"[{'idx_src': [], 'idx_tgt': [13], 'corr_type': 'V0'}]",Then they are unable to have a suitable method to protect themselves and make emotional preparations.
"Taking Angeline Jolie for example, she is famous but she still revealed the truth about her genetic testing on the development of her breast cancer risk.","Taking Angeline Jolie for example, she is famous but she still revealed the truth about her genetic testing and the development of her breast cancer risk.","[{'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Trans'}]","Taking Angelina Jolie as an example, she is famous, but she still revealed the truth about her genetic testing on the development of her breast cancer risk."
Everything is not that bad if you know how to look at the bright side with hope.,Everything is not that bad if you know how to look at the bright side with hope.,[],Everything is not that bad if you know how to look at the bright side with hope.
"People may feel angry, depressed, or even guilty about their results.","People may feel angry, depressed, or even guilty about their results.",[],"People may feel angry, depressed, or even guilty about their results."
"In some cases, a carrier can suffer tension within a family because the result is also related to the others' risk somehow.","In some cases, a carrier can suffer tension within a family because the result is also related to the others' risk.","[{'idx_src': [23], 'idx_tgt': [], 'corr_type': 'Rloc-'}]","In some cases, a carrier can suffer tension within a family because the result is also related to the others' risks somehow."
"However, I believe it is just a usual reaction to this situation.","However, I believe it is just the usual reaction in this situation.","[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'ArtOrDet'}, {'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'Prep'}]","However, I believe it's just a usual reaction to this situation."
"In addition, though it can be possible in some cases that he or she and the family can undergo specific discrimination in employment and their social life, how people can face more dramatic tragedy such as sickness or death if they cannot even overcome this harsh situation.","In addition, in some cases the patient and the family may undergo specific discrimination in employment and their social life, which they need to learn to face as there might be dramatic tragedy such as sickness even death.","[{'idx_src': [3, 4, 5, 6, 7], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [11], 'idx_tgt': [], 'corr_type': 'Ssub'}, {'idx_src': [12, 13, 14], 'idx_tgt': [6, 7], 'corr_type': 'Wci'}, {'idx_src': [18], 'idx_tgt': [11], 'corr_type': 'Vm'}, {'idx_src': [29], 'idx_tgt': [22], 'corr_type': 'Ssub'}, {'idx_src': [30], 'idx_tgt': [23], 'corr_type': 'Pref'}, {'idx_src': [31], 'idx_tgt': [24, 25], 'corr_type': 'Vm'}, {'idx_src': [], 'idx_tgt': [26, 27], 'corr_type': 'V0'}, {'idx_src': [33], 'idx_tgt': [29, 30, 31, 32], 'corr_type': 'Sfrag'}, {'idx_src': [39], 'idx_tgt': [38], 'corr_type': 'Trans'}, {'idx_src': [], 'idx_tgt': [40], 'corr_type': 'Mec'}, {'idx_src': [41, 42, 43, 44, 45, 46, 47, 48, 49, 50], 'idx_tgt': [], 'corr_type': 'Rloc-'}]","In addition, although it can be possible in some cases that he or she and the family may undergo specific discrimination in employment and their social life, it's how people can face more dramatic tragedies such as sickness or death if they cannot even overcome this harsh situation."
Life is hard but people cannot blame it on being unfair.,Life is hard but people cannot call it unfair.,"[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Wci'}, {'idx_src': [9], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [10], 'idx_tgt': [], 'corr_type': 'Rloc-'}]","* ""Life is hard but people cannot blame it on being unfair."
It is just because that you do not become strong enough to overcome the hard time.,It is because they are not strong enough to overcome the hard times.,"[{'idx_src': [2], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [4], 'idx_tgt': [], 'corr_type': 'Ssub'}, {'idx_src': [5], 'idx_tgt': [3], 'corr_type': 'Pform'}, {'idx_src': [6], 'idx_tgt': [4], 'corr_type': 'Vm'}, {'idx_src': [8], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [15], 'idx_tgt': [12], 'corr_type': 'Nn'}]",It's just because you don't become strong enough to overcome the hard times.
"Furthermore, living with a secret is not a good sensation, especially if the situations of other relatives become worse, you should feel guilty and depressed.","Furthermore, living with a secret is not a good sensation, especially if the situations of other relatives becomes worse . People might feel guilty and depressed.","[{'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'SVA'}, {'idx_src': [21], 'idx_tgt': [21], 'corr_type': 'Mec'}, {'idx_src': [22], 'idx_tgt': [22], 'corr_type': 'Pref'}, {'idx_src': [23], 'idx_tgt': [23], 'corr_type': 'Vm'}]","Furthermore, living with a secret is not a good sensation, especially if the situations of other relatives worsen; you should feel guilty and depressed."
"Moreover, the truth cannot be hidden forever but when it is revealed, more shocking and upset it will be.","Moreover, the truth cannot be hidden forever but when it is finally revealed, it will be more shocking and upsetting. .","[{'idx_src': [], 'idx_tgt': [13], 'corr_type': 'Others'}, {'idx_src': [15, 16, 17, 18, 19, 20, 21], 'idx_tgt': [16, 17, 18, 19, 20, 21, 22], 'corr_type': 'WOinc'}]","Moreover, the truth cannot be hidden forever, but when it is revealed, it will be even more shocking and upsetting."
"As the result, it is in the interests of the carriers and their relatives, telling the genetic testing result is needed.","As a result, it is in the interests of the carriers and their relatives, to tell the genetic testing result","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [16, 17], 'corr_type': 'Vform'}, {'idx_src': [21, 22, 23], 'idx_tgt': [], 'corr_type': 'Rloc-'}]","As a result, it is in the interests of the carriers and their relatives that telling the genetic testing results is necessary."
"Last but not least, though genetic testing is a personal matter, telling the result to your family can improve and develop understanding and sympathy of each other as well as promoting awareness of taking care of everyone's health.","Last but not least, though genetic testing is a personal matter, telling the result to your family can improve and develop understanding and sympathy for each other as well as promote awareness of the need to take care of everyone's health.","[{'idx_src': [26], 'idx_tgt': [26], 'corr_type': 'Prep'}, {'idx_src': [32], 'idx_tgt': [32], 'corr_type': 'Vform'}, {'idx_src': [35], 'idx_tgt': [35, 36, 37, 38], 'corr_type': 'Others'}]","Last but not least, although genetic testing is a personal matter, telling the results to your family can improve and develop understanding and sympathy among each other, as well as promote awareness of taking care of everyone's health."
That plays an important role in the possibility that relatives can overcome the discrimination of the society and anxiety about the risks.,That plays an important role in helping relatives overcome the discrimination of the society and anxiety about the risks.,"[{'idx_src': [6, 7, 8], 'idx_tgt': [6], 'corr_type': 'Wci'}, {'idx_src': [10], 'idx_tgt': [], 'corr_type': 'Vm'}]",That plays an important role in the possibility that relatives can overcome the discrimination they face in society and alleviate their anxiety about the risks.
"To put it in the nutshell, I believe that people should have the obligation to tell their relatives about the genetic testing result for the good of their health.","To put it in a nutshell, I believe that people should have the obligation to tell their relatives about the genetic testing result for the good of their health.","[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'ArtOrDet'}]","To put it simply, I believe that individuals should have the obligation to inform their relatives about their genetic test results for the sake of their health."
It can be very difficult for them but necessary for the carriers and their family.,It can be very difficult for them but necessary for the carriers and their family.,[],"It can be very difficult for them, but it is necessary for carriers and their families."
"In addition, emotional preparations and the ways you explain your genetic condition is also important so that you can convey the correct information to your family and relatives and if necessary to guide them if he/she wish to conduct a similar genetic testing.","In addition, emotional preparations and the ways you explain your genetic condition are also important so that you can convey the correct information to your family and relatives and if necessary guide them if they wish to conduct a similar genetic test.","[{'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'SVA'}, {'idx_src': [32], 'idx_tgt': [], 'corr_type': 'Vform'}, {'idx_src': [36], 'idx_tgt': [35], 'corr_type': 'Pform'}, {'idx_src': [43], 'idx_tgt': [42], 'corr_type': 'Wform'}]","In addition, emotional preparation and the way you explain your genetic condition is also important, so that you can convey the correct information to your family and relatives, and if necessary, guide them if they wish to conduct a similar genetic test."
The Impact Of Social Media,The Impact Of Social Media,[],The Impact Of Social Media
Social media has been playing a vital important role in our lives today.,Social media has been playing a vital important role in our lives today.,[],Social media has been playing a vital role in our lives today.
It is almost imposible for us to keep way from it.,It is almost imposible for us to keep way from it.,[],It is almost impossible for us to stay away from it.
"I started invoving into Facebook one years ago,when I just arrived singapore.","I started becoming involved in Facebook one year ago,when I just arrived in Singapore","[{'idx_src': [2], 'idx_tgt': [2, 3], 'corr_type': 'Wci'}, {'idx_src': [3], 'idx_tgt': [4], 'corr_type': 'Prep'}, {'idx_src': [6], 'idx_tgt': [7], 'corr_type': 'Nn'}, {'idx_src': [11], 'idx_tgt': [12, 13], 'corr_type': 'Prep'}, {'idx_src': [12], 'idx_tgt': [], 'corr_type': 'Mec'}]","I started involving myself on Facebook one year ago, when I just arrived in Singapore."
And now I got over 500 friends on Facebook and buried myself with hundrends of seeds every day.,and now I got over 500 friends on Facebook and bury myself with hundreds of seeds every day.,"[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Mec'}, {'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'Vt'}, {'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'Mec'}]",And now I have over 500 friends on Facebook and bury myself with hundreds of seeds every day.
"We know each others' status, changements and so on through the social media.","We know each others' status, changes and so on through the social media.","[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Wform'}]","We know each other's statuses, changes, and so on through social media."
"For an example, if we change our contact numbers, we will not send SMS to each of individual any longer.","For example, if we change our contact numbers, we will not send SMS to each individual any longer.","[{'idx_src': [1], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [18], 'idx_tgt': [], 'corr_type': 'Prep'}]","For example, if we change our contact numbers, we will no longer send SMS to each individual separately."
"Instead, we will post a seed and tag our friends to inform this kind of changments.","Instead, we will post a seed and tag our friends to make it known.","[{'idx_src': [12], 'idx_tgt': [12, 13, 14], 'corr_type': 'Wci'}, {'idx_src': [13, 14, 15, 16], 'idx_tgt': [], 'corr_type': 'Rloc-'}]","Instead, we will post a seed and tag our friends to inform these kinds of changes."
"And if you are not on it, you will just get lost.","And if you are not on it, you will just get lost.",[],"And if you are not on it, you will just get lost."
"In certain aspects, social media has brought us quite a lot of convenience.","In certain aspects, social media has brought us quite a lot of convenience.",[],"In certain aspects, social media has brought us quite a lot of convenience."
It is becoming even more convinient than talking throught the phone since it is free.,It is becoming even more convenient than talking via the phone since it is free.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Mec'}, {'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'Wci'}]",It is becoming even more convenient than talking through the phone since it is free.
We discuss every thing we like and we have more personal space.Our friends also got more access to know what we are doing and what we like.,We discuss every thing we like and we have more personal space.Our friends also got more access to know what we are doing and what we like.,[],"We discuss everything we like, and we have more personal space. Our friends also get more access to know what we're doing and what we like."
"And also, we get a chance to talk to public people like popular stars and know their life better.","And also, we get a chance to talk to public people like popular stars and know their life better.",[],"And also, we get a chance to talk to public figures like popular stars and learn more about their lives."
"In China, a lot of government organizations have open blogs to communicate with people, like firefighters, police stations and so on.","In China, a lot of government organizations have open blogs to communicate with people, like firefighters, police stations and so on.",[],"In China, many government organizations have opened blogs to communicate with people, such as firefighters, police stations, and others."
Socia media allows them to explain to or inform people what is going on.,Socia media allows them to inform people about what is going on.,"[{'idx_src': [5, 6, 7], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [7], 'corr_type': 'Prep'}]",Social media allows them to explain to or inform people what is going on.
And actually lots of rescuing jobs are done with the help of social media like looking for people get lost and so on.,And actually lots of rescue jobs are done with the help of social media like looking for people who get lost and so on.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Wform'}, {'idx_src': [], 'idx_tgt': [18], 'corr_type': 'Ssub'}]","And actually, many rescue jobs are done with the help of social media, such as searching for people who are lost, and so on."
"With more convinient and humanian communications, the relationship between government and people get largely improved.","With more convenient and humane communications, the relationship between government and people has largely improved.","[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Mec'}, {'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Mec'}, {'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'Wci'}]","With more convenient and humanitarian communications, the relationship between governments and people has largely improved."
"What's more, various of cultures can be shown to us through social medias.","What's more, various cultures can be shown to us through social medias.","[{'idx_src': [5], 'idx_tgt': [], 'corr_type': 'Prep'}]","What's more, various cultures can be showcased to us through social media."
We can know more news and cultures through socia medias.,We can know more news and cultures through socia medias.,[],We can learn more about news and cultures through social media.
"From this scope, social media has shorten our distance.","From this scope, social media has shortened our distance.","[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Vform'}]","From this perspective, social media has shortened our distance."
"However, we get less chance and less importance to talk face to face since social media is so convinient, advanced and interesting.","However, the chances and importance of talking face to face are less since social media is so convenient, advanced and interesting.","[{'idx_src': [2, 3, 4], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [5], 'idx_tgt': [2, 3], 'corr_type': 'Nn'}, {'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [9], 'idx_tgt': [6], 'corr_type': 'Prep'}, {'idx_src': [10], 'idx_tgt': [7], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [11, 12], 'corr_type': 'Others'}, {'idx_src': [19], 'idx_tgt': [18], 'corr_type': 'Mec'}]","However, we get less chance and less importance to talk face-to-face since social media is so convenient, advanced, and interesting."
And even we gather together more people find themselves has less topics to talk than before and choose to digging from their social media again.,"And even if we gather together, more people find they have less topics to talk about than before and choose to dig from their social media again.","[{'idx_src': [], 'idx_tgt': [2], 'corr_type': 'Trans'}, {'idx_src': [], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [8], 'idx_tgt': [10], 'corr_type': 'Pform'}, {'idx_src': [9], 'idx_tgt': [11], 'corr_type': 'SVA'}, {'idx_src': [], 'idx_tgt': [16], 'corr_type': 'Prep'}, {'idx_src': [19], 'idx_tgt': [22], 'corr_type': 'Vform'}]","And even when we gather together, more people find themselves with fewer topics to talk about than before and choose to dig through their social media again."
